Source,website,page_url,TRUE,FALSE
www.facebook.com,www.state.gov,1,1,0
www.facebook.com,www.wfp.org,1,0,1
www.facebook.com,www.wired.com,1,1,0
www.youtube.com,pol.moveon.org,1,0,1
www.fbo.gov,articles.cnn.com,1,0,1
www.facebook.com,www.jsonline.com,1,0,1
www.fbo.gov,www.af.mil,1,0,1
www.facebook.com,www.jstor.org,1,0,1
www.facebook.com,www.kff.org,1,0,1
www.facebook.com,www.loc.gov,1,0,1
www.facebook.com,www.mahealthconnector.org,1,0,1
www.fbo.gov,washingtonexaminer.com,1,0,1
www.fbo.gov,static.e-publishing.af.mil,1,0,1
www.facebook.com,www.malegislature.gov,1,0,1
www.facebook.com,www.mcclatchydc.com,1,0,1
www.facebook.com,www.mcdonalds.dk,1,1,0
www.facebook.com,www.opcw.org,1,1,0
www.facebook.com,www4.uwm.edu,1,0,1
www.facebook.com,www.msnbc.msn.com,1,0,1
www.facebook.com,www.zillow.com,1,0,1
www.facebook.com,www.nacdl.org,1,0,1
www.youtube.com,downtrend.com,1,0,1
www.facebook.com,www.nachc.com,1,0,1
www.facebook.com,www.nationsonline.org,1,0,1
www.youtube.com,presente.org,1,0,1
www.youtube.com,education-curriculum-reform-government-schools.org,1,0,1
www.facebook.com,www.worldbeyondwar.org,1,0,1
www.facebook.com,www.massresources.org,1,0,1
www.facebook.com,www.americanprogress.org,1,0,1
www.facebook.com,www.dlapiper.com,1,0,1
www.examiner.com,oathkeepers.org,1,0,1
www.examiner.com,minutemennews.com,1,0,1
www.examiner.com,mchb.hrsa.gov,1,0,1
www.examiner.com,homvee.acf.hhs.gov,1,0,1
www.examiner.com,frwebgate.access.gpo.gov,1,0,1
www.examiner.com,freedomoutpost.com,1,0,1
www.examiner.com,benswann.com,1,0,1
www.examiner.com,beforeitsnews.com,1,0,1
www.enhlive.com,www.washingtonpost.com,1,0,1
www.enhlive.com,www.politifact.com,1,0,1
www.enhlive.com,www.opm.gov,1,0,1
www.enhlive.com,www.nytimes.com,1,0,1
www.enhlive.com,www.factcheck.org,1,0,1
www.enhlive.com,www.enhlive.com,1,0,1
www.enhlive.com,www.benefits.gov,1,0,1
www.enhlive.com,www.archives.gov,1,0,1
www.examiner.com,nccp.org,1,0,1
www.youtube.com,www.phschool.com,1,0,1
www.enhlive.com,uspostman.com,1,0,1
www.examiner.com,www.americanbar.org,1,0,1
www.facebook.com,bigstory.ap.org,1,0,1
www.facebook.com,articles.latimes.com,1,0,1
www.facebook.com,articles.boston.com,1,0,1
www.facebook.com,archinte.jamanetwork.com,1,0,1
www.facebook.com,america.aljazeera.com,1,1,0
www.facebook.com,agonist.org,1,0,1
www.facebook.com,Target of Protest,1,0,1
www.facebook.com,7poundbag.com,1,0,1
www.examiner.com,www.youtube.com,1,0,1
www.examiner.com,www.westernfreepress.com,1,0,1
www.examiner.com,www.thegreenvillepost.com,1,0,1
www.examiner.com,www.thegatewaypundit.com,1,0,1
www.examiner.com,www.pewstates.org,1,0,1
www.examiner.com,www.hhs.gov,1,0,1
