Source,Destination,Monday,Elections,Military,Thursday,Religion,Friday,Saturday,TRUE,History,Tuesday,Wednesday,Sunday,page_url,Health Care,FALSE,jaccard_coeff_connection,Neighbor_connection,jaccard_coeff_common_destination,Neighbor_common_destination,jaccard_coeff_common_source,Neighbor_common_source,SourceSite_outdeg_real,DestSite_outdeg_real,SourceSite_outdeg_fake,DestSite_outdeg_fake,SourceSite_indeg_fake,DestSite_indeg_fake,DestSite_indeg_real,SourceSite_indeg_real,mutuality_ind,MedianPolarityScore,Label
www.politifact.com,newswatch33.com,0,0,0,2,0,0,0,0,2,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,35,0.0,75.0,2,0,7.0,0.0,0.0258,0
www.politifact.com,cpc.grijalva.house.gov,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0.030769230769230767,2,0.06666666666666668,2,0.027027027027027032,1,0,0.0,35,2.0,75.0,4,0,7.0,0.0,0.0,0
usa-television.com,travel.state.gov,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,2,0,0.0,0.0,0.0,0
www.politicalears.com,www.snopes.com,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0.030303030303030307,1,0.0,0,0.0,0,0,0.0,11,6.0,0.0,33,1,0.0,0.0,0.0,0
www.facebook.com,www.dol.gov,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0.0,0,0.0,0,0.0,0,30,0.0,225,0.0,10.0,1,1,1.0,0.0,-0.05135,0
www.ilga.gov,www.prochoiceamerica.org,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,17,0.0,0.0,2,0,0.0,0.0,0.4215,0
onlineathens.com,pubs.usgs.gov,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,9,0.0,0.0,2,0,0.0,0.0,0.0,0
www.facebook.com,data.bls.gov,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0.012903225806451613,2,0.013605442176870748,2,0.0,0,30,0.0,225,5.0,10.0,2,0,1.0,0.0,0.0,0
www.infowars.com,www.lakeland.com,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,21,0.0,3.0,2,0,0.0,0.0,0.0,0
thenewyorkevening.com,www.wwe.com,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0.0,0,0.0,0,0.0,0,0,0.0,9,0.0,0.0,2,0,0.0,0.0,-0.9041,0
