"","Source","website","page_url","TRUE.","FALSE."
"325","www.examiner.com","benswann.com",1,0,1
"326","www.examiner.com","beforeitsnews.com",1,0,1
"327","www.enhlive.com","www.washingtonpost.com",1,0,1
"328","www.enhlive.com","www.politifact.com",1,0,1
"329","www.enhlive.com","www.opm.gov",1,0,1
"330","www.enhlive.com","www.nytimes.com",1,0,1
"331","www.enhlive.com","www.factcheck.org",1,0,1
"332","www.enhlive.com","www.enhlive.com",1,0,1
"333","www.enhlive.com","www.benefits.gov",1,0,1
"334","www.enhlive.com","www.archives.gov",1,0,1
"335","www.examiner.com","nccp.org",1,0,1
"336","www.youtube.com","www.phschool.com",1,0,1
"337","www.enhlive.com","uspostman.com",1,0,1
"338","www.examiner.com","www.americanbar.org",1,0,1
"339","www.facebook.com","bigstory.ap.org",1,0,1
"340","www.facebook.com","articles.latimes.com",1,0,1
"341","www.facebook.com","articles.boston.com",1,0,1
"342","www.facebook.com","archinte.jamanetwork.com",1,0,1
"343","www.facebook.com","america.aljazeera.com",1,1,0
"344","www.facebook.com","agonist.org",1,0,1
"345","www.facebook.com","Target of Protest",1,0,1
"346","www.facebook.com","7poundbag.com",1,0,1
"347","www.examiner.com","www.youtube.com",1,0,1
"348","www.examiner.com","www.westernfreepress.com",1,0,1
"349","www.examiner.com","www.thegreenvillepost.com",1,0,1
"350","www.examiner.com","www.thegatewaypundit.com",1,0,1
"351","www.examiner.com","www.pewstates.org",1,0,1
"352","www.examiner.com","www.hhs.gov",1,0,1
"353","www.examiner.com","www.examiner.com",1,0,1
"354","www.enhlive.com","web.archive.org",1,0,1
"355","www.enhlive.com","fas.org",1,0,1
"356","www.facebook.com","blogs.discovermagazine.com",1,1,0
"357","www.crai.com","www.nationalbcc.org",1,0,1
"358","www.crai.com","www.crai.com",1,0,1
"359","www.crai.com","www.cbo.gov",1,0,1
"360","www.crai.com","www.americanprogress.org",1,0,1
"361","www.crai.com","www.aceee.org",1,0,1
"362","www.crai.com","energycommerce.house.gov",1,0,1
"363","www.childrensdefense.org","www.senate.gov",1,0,1
"364","www.childrensdefense.org","www.cnn.com",1,0,1
"365","www.youtube.com","www.votevets.org",1,0,1
"366","www.charismanews.com","www.wnd.com",1,0,1
"367","www.charismanews.com","www.express.co.uk",1,0,1
"368","www.charismanews.com","www.charismanews.com",1,0,1
"369","www.census.gov","www2.census.gov",1,0,1
"370","www.census.gov","www.bea.gov",1,0,1
"371","www.census.gov","cfo.dc.gov",1,0,1
"372","www.breitbart.com","www.whitehouse.gov",1,0,1
"373","www.crai.com","www.epw.senate.gov",1,0,1
"374","www.dailymail.co.uk","medium.com",1,0,1
"375","www.duhprogressive.com","www.huffingtonpost.com",1,0,1
"376","www.dailymail.co.uk","theringer.com",1,0,1
"377","www.duhprogressive.com","www.duhprogressive.com",1,0,1
"378","www.documentcloud.org","www.flsenate.gov",1,0,1
"379","www.documentcloud.org","www.dos.state.fl.us",1,0,1
"380","www.youtube.com","www.politico.com",1,0,1
"381","www.youtube.com","www.politifact.com",1,0,1
"382","www.documentcloud.org","miamiherald.typepad.com",1,0,1
"383","www.dispatch.com","www.youtube.com",1,0,1
"384","www.dispatch.com","www.dispatch.com",1,0,1
"385","www.dispatch.com","www.ajc.com",1,0,1
"386","www.dispatch.com","cmc.rodparsley.com",1,0,1
"387","www.dispatch.com","abcnews.go.com",1,0,1
"388","www.dailymail.co.uk","www.youtube.com",1,0,1
"389","www.dailymail.co.uk","www.washingtonpost.com",1,0,1
"390","www.dailymail.co.uk","www.forbes.com",1,0,1
"391","www.dailymail.co.uk","www.dailymail.co.uk",1,0,1
"392","www.facebook.com","blogs.citypages.com",1,0,1
"393","www.facebook.com","blogs.reuters.com",1,1,0
"394","www.facebook.com","www.dhs.gov",1,0,1
"395","www.youtube.com","www.epa.gov",1,0,1
"396","www.facebook.com","www.bostonherald.com",1,0,1
"397","www.facebook.com","www.bls.gov",1,1,0
"398","www.youtube.com","www.facebook.com",1,1,0
"399","www.facebook.com","www.bcbsri.com",1,0,1
"400","www.youtube.com","www.factcheck.org",1,0,1
"401","www.facebook.com","www.au.af.mil",1,0,1
"402","www.youtube.com","www.johnmccain.com",1,0,1
"403","www.facebook.com","www.alwaleed.com.sa",1,0,1
"404","www.facebook.com","ustr.gov",1,0,1
"405","www.facebook.com","thelede.blogs.nytimes.com",1,0,1
"406","www.facebook.com","taxfoundation.org",1,1,0
"407","www.facebook.com","static.politifact.com.s3.amazonaws.com",1,0,1
"408","www.youtube.com","www.nrdc.org",1,0,1
"409","www.facebook.com","siarchives.si.edu",1,0,1
"410","www.facebook.com","rt.com",1,0,1
"411","www.facebook.com","www.bradycampaign.org",1,0,1
"412","www.facebook.com","www.bt.cdc.gov",1,1,0
"413","www.facebook.com","research.hks.harvard.edu",1,0,1
"414","www.facebook.com","www.buzzfeed.com",1,0,1
"415","www.facebook.com","www.dailykos.com",1,0,1
"416","www.facebook.com","www.csmonitor.com",1,0,1
"417","www.facebook.com","www.cracked.com",1,0,1
"418","www.youtube.com","www.capitol.hawaii.gov",1,0,1
"419","www.facebook.com","www.columbia.edu",1,0,1
"420","www.facebook.com","www.college.columbia.edu",1,0,1
"421","www.facebook.com","www.cnn.com",1,0,1
"422","www.facebook.com","www.cjr.org",1,1,0
"423","www.youtube.com","www.cbsnews.com",1,0,1
"424","www.facebook.com","www.cia.gov",1,0,1
"425","www.facebook.com","www.census.gov",1,0,1
"426","www.facebook.com","www.cbsnews.com",1,0,1
"427","www.youtube.com","www.detroitnews.com",1,1,0
"428","www.facebook.com","www.cap-press.com",1,0,1
"429","www.youtube.com","www.eia.doe.gov",1,0,1
"430","www.facebook.com","rightwingnews.com",1,0,1
"431","www.facebook.com","religion.blogs.cnn.com",1,0,1
"432","www.facebook.com","bluecrossmafoundation.org",1,0,1
"433","www.facebook.com","housedocs.house.gov",1,0,1
"434","www.facebook.com","hdl.loc.gov",1,0,1
"435","www.facebook.com","gasbuddy.com",1,0,1
"436","www.facebook.com","fuelgaugereport.aaa.com",1,0,1
"437","www.facebook.com","en.wikipedia.org",1,0,1
"438","www.facebook.com","edition.cnn.com",1,0,1
"439","www.facebook.com","drive.google.com",1,1,0
"440","www.youtube.com","www.nytimes.com",1,0,1
"441","www.facebook.com","docs.google.com",1,0,1
"442","www.facebook.com","data.un.org",1,0,1
"443","www.facebook.com","dailycaller.com",1,0,1
"444","www.facebook.com","cwc.fas.org",1,1,0
"445","www.facebook.com","csgv2.blogspot.com",1,0,1
"446","www.facebook.com","costsofwar.org",1,0,1
"447","www.facebook.com","content.healthaffairs.org",1,0,1
"448","www.facebook.com","cdn.gop.com",1,1,0
"449","www.facebook.com","hereandnow.wbur.org",1,0,1
"450","www.facebook.com","humanevents.com",1,0,1
"451","www.facebook.com","rechten.uvt.nl",1,0,1
"452","www.facebook.com","ia600805.us.archive.org",1,0,1
"453","www.facebook.com","president45donaldtrump.com",1,0,1
"454","www.facebook.com","postalmuseumblog.si.edu",1,0,1
"455","www.facebook.com","pgpf.org",1,0,1
"456","www.facebook.com","owsposters.tumblr.com",1,0,1
"457","www.facebook.com","nypost.com",1,0,1
"458","www.facebook.com","nlihc.org",1,1,0
"459","www.facebook.com","nces.ed.gov",1,1,0
"460","www.facebook.com","nationalhomeless.org",1,0,1
"461","www.facebook.com","money.cnn.com",1,0,1
"462","www.facebook.com","media.cq.com",1,0,1
"463","www.facebook.com","media.corporate-ir.net",1,0,1
"464","www.facebook.com","madworldnews.com",1,0,1
"465","www.facebook.com","lobbyingdisclosure.house.gov",1,0,1
"466","www.facebook.com","jessicavalenti.com",1,0,1
"467","www.facebook.com","iipdigital.usembassy.gov",1,0,1
"468","www.fireandreamitchell.com","www.cfda.gov",1,0,1
"469","www.westernjournalism.com","www.flhouse.gov",1,0,1
"470","www.fireandreamitchell.com","www.cruz.senate.gov",1,0,1
"471","www.plannedparenthood.org","www.scrippsnews.com",1,0,1
"472","www.youngcons.com","diplopundit.net",1,1,0
"473","www.politicalears.com","qz.com",1,0,1
"474","www.politicalears.com","pamelageller.com",1,0,1
"475","www.politicalears.com","nationalreport.net",1,0,1
"476","www.plannedparenthood.org","www.wnd.com",1,0,1
"477","www.plannedparenthood.org","www.washingtontimes.com",1,0,1
"478","www.plannedparenthood.org","www.stopp.org",1,0,1
"479","www.youngcons.com","jakarta.usembassy.gov",1,1,0
"480","www.outsidethebeltway.com","www.outsidethebeltway.com",1,0,1
"481","www.plannedparenthood.org","www.gao.gov",1,0,1
"482","www.plannedparenthood.org","olson.house.gov",1,0,1
"483","www.pbs.org","www.washingtonpost.com",1,0,1
"484","www.pbs.org","www.pbs.org",1,0,1
"485","www.pbs.org","www.nytimes.com",1,0,1
"486","www.pbs.org","www.fbi.gov",1,0,1
"487","www.pbs.org","codes.lp.findlaw.com",1,0,1
"488","www.politicalears.com","www.bostonglobe.com",1,0,1
"489","www.politicalears.com","www.charitynavigator.org",1,0,1
"490","www.politicalears.com","www.nbcnews.com",1,0,1
"491","www.politifact.com","docs.google.com",1,0,1
"492","www.politifact.com","www.miamiherald.com",1,0,1
"493","www.politifact.com","www.ibtimes.co.uk",1,0,1
"494","www.politifact.com","www.facebook.com",1,0,1
"495","www.youngcons.com","benghazi.house.gov",1,0,1
"496","www.politifact.com","www.copyright.gov",1,0,1
"497","www.politifact.com","www.cbsnews.com",1,0,1
"498","www.politifact.com","www.carolinalive.com",1,0,1
"499","www.politifact.com","www.bbc.com",1,0,1
"500","www.politifact.com","www.aapsonline.org",1,0,1
"501","www.politifact.com","webcache.googleusercontent.com",1,0,1
"502","www.politifact.com","trailblazersblog.dallasnews.com",1,0,1
"503","www.politifact.com","thesource.com",1,0,1
"504","www.politifact.com","theobamafile.com",1,0,1
"505","www.politifact.com","m.snopes.com",1,0,1
"506","www.politifact.com","drjengunter.wordpress.com",1,0,1
"507","www.outsidethebeltway.com","www.thestar.com",1,0,1
"508","www.outsidethebeltway.com","www.newsweek.com",1,0,1
"509","www.mystatesman.com","drive.google.com",1,0,1
"510","www.naturalnews.com","www.fda.gov",1,0,1
"511","www.onlinesentinel.com","ironicsurrealism.blogivists.com",1,0,1
"512","www.npr.org","www.npr.org",1,0,1
"513","www.youngcons.com","news.yahoo.com",1,0,1
