"","wd","get(i)","get(i)","get(i)"
"democrats.benghazi.house.gov",1,0,0.0292247744052502,1
"www.cbn.com",1,0,0.0287115081097418,1
"thehill.com",12,0,0.0300210674157303,12
"newswatch33.com",1,0,0.0298450153588383,1
"travel.state.gov",1,0,0.028428927680798,1
"www.dol.gov",1,0,0.0300453315528692,1
"www.prochoiceamerica.org",1,0,0.0287115081097418,1
"pubs.usgs.gov",1,0,0.0285237698081735,1
"www.lakeland.com",1,0,0.0291898535386296,1
"www.wwe.com",1,0,0.028530432461292,1
"factcheck.barackobama.com",2,0,0.029041133113685,2
"www.nashvillescene.com",1,0,0.0287163296836166,1
"www.businessinsider.com",4,0,0.0300982152286408,4
"www.cambridgema.gov",1,0,0.0300453315528692,1
"www.consumersunion.org",1,0,0.0293733681462141,1
"www.fcor.state.fl.us",1,0,0.0300453315528692,1
"www.healthcare.gov",3,0,0.0293774051676745,3
"books.google.com",1,0,0.0290588995003908,1
"www.fas.org",5,0,0.0301757605703395,5
"www.nbcnews.com",8,0,0.0298241942235245,8
"http:",1,0,0.0287153652392947,1
"vote.sos.ca.gov",1,0,0.0288675805253562,1
"www.globalsecurity.org",1,0,0.0300453315528692,1
"www.opencongress.org",2,0,0.029663810151615,2
"web.archive.org",4,0,0.0300844475721323,4
"hemphoax.org",1,0,0.00117646249423809,1
"www.washingtontimes.com",3,0,0.0295234806629834,3
"www.wsj.com",2,0,0.0295163461870404,2
"www.ons.gov.uk",1,0,0.0292257733720732,1
"static.politifact.com",1,0,0.0297422339722406,1
"www.ohchr.org",1,0,0.0292427662630823,1
"www.uscis.gov",1,0,0.0289997625750432,1
"www.huffingtonpost.com",10,0,0.030161921896497,10
"www.gunpolicy.org",1,0,0.0300453315528692,1
"media.jrn.com",1,0,0.0288500472398434,1
"www.c-span.org",2,0,0.0294228982415087,2
"www.brookings.edu",1,0,0.0292257733720732,1
"sovereignty.net",1,0,0.0291113381001021,1
"www.cms.gov",2,0,0.0292717997877367,2
"www.legis.state.ak.us",1,0,0.0285924489181687,1
"www.propublica.org",1,0,0.0293169661226169,1
"www.tampabay.com",4,0,0.0298533519553073,4
"faculty.washington.edu",1,0,0.0297422339722406,1
"www.state.gov",2,0,0.0294583792723264,2
"espnmediazone.com",1,0,0.0292397660818713,1
"pajamasmedia.com",1,0,0.0287066881547139,1
"answers.yahoo.com",1,0,0.00117232972767672,1
"politicops.com",1,0,0.0292038118659699,1
"www.ncbi.nlm.nih.gov",2,0,0.0297029702970297,2
"fl.cair.com",1,0,0.0290628505387675,1
"www.wired.com",4,0,0.0294573643410853,4
"www.scstatehouse.gov",1,0,0.0290371879775853,1
"www.slcelections.com",1,0,0.0298450153588383,1
"www.unodc.org",1,0,0.0300453315528692,1
"www.thewallstreetshuffle.com",3,0,0.0298888345102426,3
"www.fda.gov",2,0,0.0296875,2
"thomas.loc.gov",3,0,0.0290826218578863,3
"www.govexec.com",1,0,0.0289232434626704,1
"www.defense.gov",1,0,0.0289232434626704,1
"www.dodbuzz.com",1,0,0.0289232434626704,1
"www.hcfama.org",1,0,0.0300453315528692,1
"www.jointbasemdl.af.mil",1,0,0.0289232434626704,1
"research.ku.edu",1,0,0.0294441765961843,1
"polititainment.net",1,0,0.0294441765961843,1
"www.eia.gov",1,0,0.0300453315528692,1
"votevets.org",1,0,0.0297422339722406,1
"www.fairvote.org",1,0,0.0300453315528692,1
"www.fao.org",1,0,0.0300453315528692,1
"ncgg.princeton.edu",1,0,0.0294441765961843,1
"www.floridanewsgrio.com",1,0,0.0300453315528692,1
"issuu.com",2,0,0.0294482331060136,2
"88.80.13.160.nyud.net",1,0,0.0297422339722406,1
"content.time.com",3,0,0.029585798816568,3
"www.foreignassistance.gov",1,0,0.0300453315528692,1
"www.ft.com",1,0,0.0300453315528692,1
"www.stripes.com",1,0,0.0289232434626704,1
"www.genealogybank.com",1,0,0.0300453315528692,1
"www.nationalreview.com",1,0,0.0289232434626704,1
"www.nafjobs.org",1,0,0.0289232434626704,1
"www.gpo.gov",6,0,0.0301757605703395,6
"www.gq.com",1,0,0.0300453315528692,1
"cfns.us",1,0,0.0297422339722406,1
"www.stateofworkingamerica.org",1,0,0.0300453315528692,1
"www.afclubs.net",1,0,0.0289232434626704,1
"switchboard.nrdc.org",1,0,0.0297422339722406,1
"www.philadelphiaweekly.com",1,0,0.0300453315528692,1
"www.usnews.com",1,0,0.0300453315528692,1
"www.usatoday.com",8,0,0.0301555390963919,8
"www.urbn.com",1,0,0.0300453315528692,1
"www.ratical.org",1,0,0.0300453315528692,1
"my.democrats.org",1,0,0.0297422339722406,1
"www.urban.org",1,0,0.0300453315528692,1
"www.upworthy.com",1,0,0.0300453315528692,1
"www.salon.com",1,0,0.0300453315528692,1
"www.seiu.org",1,0,0.0300453315528692,1
"www.un-kampagne.de",1,0,0.0300453315528692,1
"historytextbooks.net",1,0,0.0297422339722406,1
"hawaii.gov",1,0,0.0297422339722406,1
"www.thedailybeast.com",4,0,0.0301204819277108,4
"www.taxpolicycenter.org",2,0,0.030060120240481,2
"www.wfp.org",1,0,0.0300453315528692,1
"articles.cnn.com",1,0,0.0289232434626704,1
